audio_id,audio,gender,transcription
train_hindifullfemale_00016_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00016_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female," matalaba ki, yU ena o jo sapanA hamAre bhaviShya ke lie dekhatA hai, vo hamAre itihAsa meM, pahale hI pUrA ho chukA hai "
train_hindifullfemale_00017_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00017_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female," matalaba ki, bhAShA eka ekshana nahIM, prakRRiti ko dekhakara diyA gayA hamArA riekshana mAtra hai "
train_hindifullfemale_00018_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00018_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female," sUraja ko dekhakara, hara prajAti ke manuShya ke mu.Nha se, rA hI nikalA "
train_hindifullfemale_00019_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00019_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female," isalie, misra meM bhI sUrya bhagavAna, rA haiM, aura siMdhu ke isa pAra bhI, sUryavaMshI bhagavAna kA nAma, rAma hai "
train_hindifullfemale_00020_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00020_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female," usameM kahA gayA hai, ki eka zamAnA thA, jaba pUrI duniyA bAbilU nAma ke eka shahara meM basatI thI, aura eka hI bhAShA bolatI thI "
train_hindifullfemale_00021_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00021_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female," usa shahara ke logoM ne, eka bAra, eka ba.DI sI mInAra banAne kI koshisha kI, itanI U.NchI, ki jisa pe cha.Dha ke iMsAna bhagavAna ke pAsa pahu.Ncha jAe "
train_hindifullfemale_00022_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00022_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female," usake dosta, premikAe.N, aura rishtedAra, use isI nAma se bulAte the, aura vo bhI, aksara samajha jAtA thA, ki kvaiM usI ko saMbodhita hai "
train_hindifullfemale_00023_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00023_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female," kvaiM kI umra takarIbana aThAraha sAla rahI hogI, yAni ki, vo navakishora thA, Aja kA TInejara "
train_hindifullfemale_00024_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00024_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female," shikAra karanA anivArya thA, lekina isa mAmale me, kvaiM thoDA kamazora thA "
train_hindifullfemale_00025_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00025_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female, use jaMgalI jAna varoM se Dara lagatA thA 
train_hindifullfemale_00026_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00026_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female," matalaba ki, kvaiM sirfa maChaliyA.N pakaDa kara, bahuta dina chaina se nahIM raha sakatA thA "
train_hindifullfemale_00027_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00027_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female," usake aMdara, jAne kahA.N se, eka ajIba sA gussA panapane lagA thA "
train_hindifullfemale_00028_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00028_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female," kabIle meM bhI jhaga.De ba.Dhane lage, aura kvaiM ke mUka samarthaka, yAni ki kabIle ke ba.De loga bhI, aba dhIre dhIre, usase kaTane lage "
train_hindifullfemale_00029_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00029_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female," vo rAta ko dera taka jAgatA, jhA.DiyoM kI AvAza meM nae nae svara sunatA, aura unheM jo.Dakara, kuCha banAne kI koshisha karatA "
train_hindifullfemale_00030_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00030_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female," para jhA.DiyoM se AI eka AvAza dubArA nahIM AtI, hara bAra, naI taraha kA svara nikalatA, aura kvaiM, unheM yAda karate karate, jo.Date jo.Date, pareshAna ho jAtA "
train_hindifullfemale_00031_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00031_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female," jina dinoM bArisha hotI, kvaiM kI ye ulajhana, aura baढ़ jAtI "
train_hindifullfemale_00032_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00032_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female," isalie aba vo, dina bhara AvAzeM ikaThThI karatA phiratA "
train_hindifullfemale_00033_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00033_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female," jahA.N bhI koI naI dhvani sunatA, turaMta use doharAtA "
train_hindifullfemale_00034_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00034_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female," nadI kinAre, do kAle gola patthara the, jo eka dUsare se raga.Dakara, vahI AvAza de rahe the "
train_hindifullfemale_00035_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00035_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female," kvaiM ba.DI dera taka vahA.N baiThA, unako raga.DatA rahA, usake sAmane eka khazAnA khula gayA thA "
train_hindifullfemale_00036_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00036_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female," pattharoM meM vo AvAzeM kaida thIM, jinheM vo duniyA bhara meM DhU.NDhatA phiratA thA "
train_hindifullfemale_00037_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00037_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female," aba kvaiM kA dina, do hissoM meM ba.NTa gayA "
train_hindifullfemale_00038_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00038_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female," isake bAda, vo Aja kI AvAza vAle pattharoM ko, alaga alaga guchChoM meM bA.NdhatA, aura unheM apane ka.Ndhe para, laTakA letA "
train_hindifullfemale_00039_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00039_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female," kaI dina to aisA hotA, ki shAma ko, kabIle kI ora lauTate vaqta, usake pAsa, pattharoM ke pachAsa se zyAdA samUha hote "
train_hindifullfemale_00040_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00040_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female," kuCha logoM ko to Dara thA, ki kvaiM kisI kAle devatA kI ArAdhanA karatA hai "
train_hindifullfemale_00041_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00041_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female," isa bIcha, kvaiM ne apane kabIle vAloM ke sAtha, khAnA bilkula hI baMda kara diyA "
train_hindifullfemale_00042_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00042_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female," aba vo kachchI maChalI, aura phaloM para hI ziMdA rahatA "
train_hindifullfemale_00043_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00043_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female," mahIne bItate gae, aura kvaiM kA pattharoM vAlA khazAnA, ba.DA hotA gayA "
train_hindifullfemale_00044_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00044_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female," khU.N beDhaMga se unheM bajAtA, aura ajIba sI AvAza sunakara, khUba ha.NsatA "
train_hindifullfemale_00045_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00045_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female," kabhI kabhI kvaiM gusse meM patthara uThAkara, pheMka bhI detA "
train_hindifullfemale_00046_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00046_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female," aise hI eka jhaga.De meM, eka dina, kvaiM ne khU.N ko mAra DAlA "
train_hindifullfemale_00047_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00047_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female," gusse meM Akara, usane zora zora se chillAnA shuru kara diyA "
train_hindifullfemale_00048_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00048_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female," khU.N kA gussA, abhI bhI harA thA, aura vo phira se, kvaiM pe hI jhapaTa pa.DA "
train_hindifullfemale_00049_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00049_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female," lekina isa bAra, kvaiM ke hAtha meM, vo bArisha vAle patthara the, kAle gola patthara, jo Tapa Tapa karate the "
train_hindifullfemale_00050_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00050_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female," khU.N ke nazadIka Ate hI, ye pUrI tAkata se, usake mAthe para jA pa.De "
train_hindifullfemale_00051_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00051_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female," shAyada eka hI vAra meM, khU.N aMdhA ho gayA "
train_hindifullfemale_00052_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00052_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female," usake bAda, kvaiM ne nukIle patthara uThA kara, khU.N kI eka eka nasa kATa DAlI "
train_hindifullfemale_00053_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00053_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female," tIna kabIlevAle bIcha meM Ae, lekina vo bhI mAre gae "
train_hindifullfemale_00054_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00054_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female, subaha hote hote pUrA kabIlA khAlI ho gayA 
train_hindifullfemale_00055_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00055_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female," mAna liyA gayA, ki kvaiM sachamucha rAta kI hI ArAdhanA karatA haiM "
train_hindifullfemale_00056_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00056_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female," usake aMdara, koI kAlI shakti A gaI, jo pUre kabIle ko khAne pe AmAdA thI "
train_hindifullfemale_00057_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00057_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female," jina pattharoM pe khUna laga gayA thA, unheM vo DainyUba meM dho lAyA "
train_hindifullfemale_00058_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00058_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female," kabIle meM aba ajIba sI shAMti thI, sirfa kvaiM, aura usake patthara hI bolate the "
train_hindifullfemale_00059_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00059_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female, para use aise hI achChA lagatA thA 
train_hindifullfemale_00060_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00060_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female," unhoMne apanI rAga adAyagI meM, jisa eka chIza para sarvAdhika mehanata kI hai, vo unakA mIM.Da kA kAma hai "
train_hindifullfemale_00061_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00061_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female," prasiddha saMgIta vidvAna, chetana karanAnI likhate haiM, bismillA khAna kI kalA kI sabase ba.DI khUbI ye hai ki, unake dhvani vinyAsa kI shuddhatA, uttejanA jagAtI hai "
train_hindifullfemale_00062_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00062_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female, unakI sAMgItika pratibhA apratima hai 
train_hindifullfemale_00063_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00063_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female," ve rAga kA vistAra karane, usakI saraMchanA ke byauroM ko ubhArane meM, hameshA behada sadhe hue aura jAgarUka rahe haiM "
train_hindifullfemale_00064_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00064_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female," bismillA khAna kI mIM.Da, jo unakI vAdana kalA kA sabase sashakta pakSha bana gayI hai, dekhane lAyaka hai "
train_hindifullfemale_00065_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00065_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female," vAdana ke samaya, mIM.Da lete vakta, ve suroM meM jo mo.Da ghumAva aura daivIya sparsha mahasUsa karAte haiM, vo sunane vAle ko, apUrva anubhava detA hai "
train_hindifullfemale_00066_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00066_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female," lagatA hai ki bismillA khAna, mIM.Da lete vakta, shahanAI nahIM bajA rahe, balki sharIra ke kisI ghAva para, marahama kara rahe haiM "
train_hindifullfemale_00067_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00067_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female," shahanAI meM mIM.Da bharane kI yaha divyatA, unakI kalA yAtrA kA sabase pramukha bindu bana gayI hai "
train_hindifullfemale_00068_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00068_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female," shahanAI meM mIM.Da ke kAma para, chetana karanAnI kI yaha bAta, bismillA khAna ke usa ghanaghora riyAza kI ora ishArA karatI hai "
train_hindifullfemale_00069_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00069_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female," yadi eka sura kA koI kaNa, sahI paka.Da meM A gayA, to samajho ki sArA saMgIta, tumhArI phU.Nka meM utara AyegA "
train_hindifullfemale_00070_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00070_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female," sA aura re kA pharka karane kI tamIza, unheM mIM.Da ko baratane ke vyA karaNa ke sandarbha meM hI, bachapana se sikhAyI gayI thI "
train_hindifullfemale_00071_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00071_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female," saMgIta ke vyA karaNa kA anushAsana milA huA hai, aura pUraba kI loka laya va desI dhuneM, shahanAI ke pyAle meM Akara Thahara gayI haiM "
train_hindifullfemale_00072_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00072_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female," vo isI bAta kI ora bAra bAra ishArA karatI haiM, ki saMgIta ke mIM.Da, va tAna kI taraha hI, unake jIvana meM kalA aura rasa, eka sura se dUsare sura taka, binA TUTe hue pahu.Nche haiM "
train_hindifullfemale_00073_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00073_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female," ve eka sAdhAraNa insAna haiM, jinake bhItara, Apako anAyAsa hI, sahaja mAnavIyatA ke darshana hote haiM "
train_hindifullfemale_00074_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00074_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female, ye khAna sAhaba koI dUsare haiM 
train_hindifullfemale_00075_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00075_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female," unase milanA, momina ke usa shera se milanA hai, jahA.N ve yaha darja karate haiM, tuma mere pAsa hote ho, jaba koI dUsarA nahIM hotA "
train_hindifullfemale_00076_16000,"{'path': 'D:\lalwani\tts-finetuning\data-finetuning\extracted_data\mono_combined\resampled\train_hindifullfemale_00076_16000.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 16000}",female," ye koI dUsarA na hone jaisA vyakti, eka ustAda hai, jo prema meM pa.De huye haiM "
